take_number,original_filename,peak_dBFS,rms_dBFS,flag
take01,"ElevenLabs_audio_elevenlabs-sound-effects-v2_A single muted _2026-09-12T04_24_04 (1).mp3",-1.5,-24.1,
take02,"ElevenLabs_audio_elevenlabs-sound-effects-v2_A single muted _2026-09-12T04_24_04.mp3",-3.3,-20.3,
take03,"ElevenLabs_audio_elevenlabs-sound-effects-v2_A single muted _2026-09-12T04_24_05 (1).mp3",-7.5,-22.4,
take04,"ElevenLabs_audio_elevenlabs-sound-effects-v2_A single muted _2026-09-12T04_24_05 (2).mp3",-1.5,-22.1,
take05,"ElevenLabs_audio_elevenlabs-sound-effects-v2_A single muted _2026-09-12T04_24_05.mp3",-1.5,-17.6,
take06,"ElevenLabs_audio_elevenlabs-sound-effects-v2_A single muted _2026-09-12T04_24_11.mp3",-3.6,-20.3,
take07,"ElevenLabs_audio_elevenlabs-sound-effects-v2_A single muted _2026-09-12T04_24_12.mp3",-1.5,-23.9,
take08,"ElevenLabs_audio_elevenlabs-sound-effects-v2_A single muted _2026-09-12T04_24_13 (1).mp3",-8.0,-22.5,
take09,"ElevenLabs_audio_elevenlabs-sound-effects-v2_A single muted _2026-09-12T04_24_13.mp3",-3.6,-21.8,
take10,"ElevenLabs_audio_elevenlabs-sound-effects-v2_A single muted _2026-09-12T04_24_14.mp3",-2.8,-18.6,
take11,"ElevenLabs_audio_elevenlabs-sound-effects-v2_A single muted _2026-09-12T04_24_18 (1).mp3",-9.6,-22.2,
take12,"ElevenLabs_audio_elevenlabs-sound-effects-v2_A single muted _2026-09-12T04_24_18.mp3",-2.5,-19.2,
take13,"ElevenLabs_audio_elevenlabs-sound-effects-v2_A single muted _2026-09-12T04_24_19.mp3",-6.6,-23.9,
take14,"ElevenLabs_audio_elevenlabs-sound-effects-v2_A single muted _2026-09-12T04_24_20.mp3",-3.0,-18.6,
take15,"ElevenLabs_audio_elevenlabs-sound-effects-v2_A single muted _2026-09-12T04_24_22.mp3",-1.7,-22.2,
take16,"ElevenLabs_audio_elevenlabs-sound-effects-v2_A single muted _2026-09-12T04_24_23.mp3",-3.2,-20.5,
take17,"ElevenLabs_audio_elevenlabs-sound-effects-v2_A single muted _2026-09-12T04_24_24.mp3",-1.6,-21.9,
take18,"ElevenLabs_audio_elevenlabs-sound-effects-v2_A single muted _2026-09-12T04_24_25.mp3",-8.4,-22.4,
take19,"ElevenLabs_audio_elevenlabs-sound-effects-v2_A single muted _2026-09-12T04_24_27.mp3",-1.6,-18.6,
take20,"ElevenLabs_audio_elevenlabs-sound-effects-v2_A single muted _2026-09-12T04_24_28.mp3",-1.5,-18.0,
take21,"ElevenLabs_audio_elevenlabs-sound-effects-v2_A single muted _2026-09-12T04_24_30.mp3",-5.4,-21.0,
take22,"ElevenLabs_audio_elevenlabs-sound-effects-v2_A single muted _2026-09-12T04_24_31 (1).mp3",-1.5,-17.5,
take23,"ElevenLabs_audio_elevenlabs-sound-effects-v2_A single muted _2026-09-12T04_24_31.mp3",-3.0,-19.2,
take24,"ElevenLabs_audio_elevenlabs-sound-effects-v2_A single muted _2026-09-12T04_24_32.mp3",-6.4,-22.7,
take25,"ElevenLabs_audio_elevenlabs-sound-effects-v2_A single muted _2026-09-12T04_24_34.mp3",-2.8,-21.4,
take26,"ElevenLabs_audio_elevenlabs-sound-effects-v2_A single muted _2026-09-12T04_24_36.mp3",-1.6,-17.8,
take27,"ElevenLabs_audio_elevenlabs-sound-effects-v2_A single muted _2026-09-12T04_24_45.mp3",-7.4,-24.5,
